track,note,volume,start,duration
2,58,72,31200,240
3,46,72,31200,120
3,38,72,31200,120
3,46,72,31320,120
2,62,72,31440,240
3,46,72,31440,120
3,46,72,31560,120
1,77,72,31680,480
2,65,72,31680,240
3,46,72,31680,120
3,35,72,31680,120
3,46,72,31800,120
2,62,72,31920,240
3,46,72,31920,120
3,46,72,32040,120
1,77,72,32160,480
2,58,72,32160,240
3,46,72,32160,120
3,38,72,32160,120
3,46,72,32280,120
2,62,72,32400,240
3,46,72,32400,120
3,46,72,32520,120
1,81,72,32640,480
2,67,72,32640,240
3,46,72,32640,120
3,35,72,32640,120
3,46,72,32760,120
2,64,72,32880,240
3,46,72,32880,120
3,46,72,33000,120
1,81,72,33120,480
2,60,72,33120,240
3,46,72,33120,120
3,38,72,33120,120
3,46,72,33240,120
2,64,72,33360,240
3,46,72,33360,120
3,46,72,33480,120
1,79,72,33600,480
2,67,72,33600,240
3,46,72,33600,120
3,35,72,33600,120
3,46,72,33720,120
2,64,72,33840,240
3,46,72,33840,120
3,46,72,33960,120
1,77,72,34080,480
2,60,72,34080,240
3,46,72,34080,120
3,38,72,34080,120
3,46,72,34200,120
2,64,72,34320,240
3,46,72,34320,120
3,46,72,34440,120
2,64,72,34560,240
3,46,72,34560,120
3,35,72,34560,120
3,46,72,34680,120
2,61,72,34800,240
3,46,72,34800,120
3,46,72,34920,120
1,81,72,35040,480
2,57,72,35040,240
3,46,72,35040,120
3,38,72,35040,120
3,46,72,35160,120
2,61,72,35280,240
3,46,72,35280,120
3,46,72,35400,120
1,81,72,35520,480
2,64,72,35520,240
3,46,72,35520,120
3,35,72,35520,120
3,46,72,35640,120
2,61,72,35760,240
3,46,72,35760,120
3,46,72,35880,120
1,81,72,36000,480
2,57,72,36000,240
3,46,72,36000,120
3,38,72,36000,120
3,46,72,36120,120
2,61,72,36240,240
3,46,72,36240,120
3,46,72,36360,120
2,64,72,36480,240
3,46,72,36480,120
3,35,72,36480,120
3,46,72,36600,120
2,61,72,36720,240
3,46,72,36720,120
3,46,72,36840,120
1,85,72,36960,480
2,57,72,36960,240
3,46,72,36960,120
3,38,72,36960,120
3,46,72,37080,120
2,61,72,37200,240
3,46,72,37200,120
3,46,72,37320,120
1,85,72,37440,480
2,64,72,37440,240
3,46,72,37440,120
3,35,72,37440,120
3,46,72,37560,120
2,61,72,37680,240
3,46,72,37680,120
3,46,72,37800,120
1,85,72,37920,480
2,57,72,37920,240
3,46,72,37920,120
3,38,72,37920,120
3,46,72,38040,120
2,61,72,38160,240
3,46,72,38160,120
3,46,72,38280,120
2,65,72,38400,240
3,46,72,38400,120
3,35,72,38400,120
3,57,72,38400,120
3,46,72,38520,120
2,62,72,38640,240
3,46,72,38640,120
3,46,72,38760,120
1,77,72,38880,480
2,57,72,38880,240
3,46,72,38880,120
3,38,72,38880,120
3,46,72,39000,120
2,62,72,39120,240
3,46,72,39120,120
3,46,72,39240,120
1,77,72,39360,480
2,65,72,39360,240
3,46,72,39360,120
3,35,72,39360,120
3,46,72,39480,120
2,62,72,39600,240
3,46,72,39600,120
3,46,72,39720,120
1,77,72,39840,480
2,57,72,39840,240
3,46,72,39840,120
3,38,72,39840,120
3,46,72,39960,120
2,62,72,40080,240
3,46,72,40080,120
3,46,72,40200,120
1,81,72,40320,480
2,65,72,40320,240
3,46,72,40320,120
3,35,72,40320,120
3,46,72,40440,120
2,60,72,40560,240
3,46,72,40560,120
3,46,72,40680,120
1,81,72,40800,480
2,57,72,40800,240
3,46,72,40800,120
3,38,72,40800,120
3,46,72,40920,120
2,60,72,41040,240
3,46,72,41040,120
3,46,72,41160,120
1,79,72,41280,480
2,65,72,41280,240
3,46,72,41280,120
3,35,72,41280,120
3,46,72,41400,120
2,60,72,41520,240
3,46,72,41520,120
3,46,72,41640,120
1,77,72,41760,480
2,57,72,41760,240
3,46,72,41760,120
3,38,72,41760,120
3,46,72,41880,120
2,60,72,42000,240
3,46,72,42000,120
3,46,72,42120,120
2,65,72,42240,240
3,46,72,42240,120
3,35,72,42240,120
3,46,72,42360,120
2,62,72,42480,240
3,46,72,42480,120
3,46,72,42600,120
1,82,72,42720,480
2,58,72,42720,240
3,46,72,42720,120
3,38,72,42720,120
3,46,72,42840,120
2,62,72,42960,240
3,46,72,42960,120
3,46,72,43080,120
1,82,72,43200,480
2,65,72,43200,240
3,46,72,43200,120
3,35,72,43200,120
3,46,72,43320,120
2,62,72,43440,240
3,46,72,43440,120
3,46,72,43560,120
1,82,72,43680,480
2,58,72,43680,240
3,46,72,43680,120
3,38,72,43680,120
3,46,72,43800,120
2,62,72,43920,240
3,46,72,43920,120
3,46,72,44040,120
1,79,72,44160,960
2,67,72,44160,240
3,46,72,44160,120
3,35,72,44160,120
3,46,72,44280,120
2,64,72,44400,240
3,46,72,44400,120
3,46,72,44520,120
2,60,72,44640,240
3,46,72,44640,120
3,38,72,44640,120
3,46,72,44760,120
2,64,72,44880,240
3,46,72,44880,120
3,46,72,45000,120
1,84,72,45120,960
2,67,72,45120,240
3,46,72,45120,120
3,35,72,45120,120
3,46,72,45240,120
2,64,72,45360,240
3,46,72,45360,120
3,46,72,45480,120
2,60,72,45600,240
3,46,72,45600,120
3,38,72,45600,120
3,46,72,45720,120
2,64,72,45840,240
3,46,72,45840,120
3,46,72,45960,120
1,81,72,46080,960
2,64,72,46080,240
3,46,72,46080,120
3,35,72,46080,120
3,46,72,46200,120
2,61,72,46320,240
3,46,72,46320,120
3,46,72,46440,120
2,57,72,46560,240
3,46,72,46560,120
3,38,72,46560,120
3,46,72,46680,120
2,61,72,46800,240
3,46,72,46800,120
3,46,72,46920,120
1,85,72,47040,960
2,64,72,47040,240
3,46,72,47040,120
3,35,72,47040,120
3,46,72,47160,120
2,61,72,47280,240
3,46,72,47280,120
3,46,72,47400,120
2,57,72,47520,240
3,46,72,47520,120
3,38,72,47520,120
3,46,72,47640,120
