track,note,start,end
1,50,65280,65520
1,43,65280,65520
2,31,65280,65520
3,57,65280,65760
3,35,65280,65760
1,50,65520,65760
1,43,65520,65760
2,31,65520,65760
1,50,65760,66000
1,43,65760,66000
2,31,65760,66000
3,42,65760,66240
1,50,66000,66240
1,43,66000,66240
2,31,66000,66240
1,50,66240,66480
1,43,66240,66480
2,31,66240,66480
3,42,66240,66720
1,50,66480,66720
1,43,66480,66720
2,31,66480,66720
1,50,66720,66960
1,43,66720,66960
2,31,66720,66960
3,42,66720,67200
1,50,66960,67200
1,43,66960,67200
2,31,66960,67200
1,45,67200,67440
1,40,67200,67440
2,33,67200,67440
3,57,67200,67680
3,35,67200,67680
1,45,67440,67680
1,40,67440,67680
2,33,67440,67680
1,52,67680,67920
1,45,67680,67920
1,40,67680,67920
2,33,67680,67920
3,42,67680,68160
1,52,67920,68160
1,45,67920,68160
1,40,67920,68160
2,33,67920,68160
1,57,68160,68400
1,52,68160,68400
1,45,68160,68400
1,40,68160,68400
2,33,68160,68400
3,42,68160,68640
1,61,68400,68640
1,57,68400,68640
1,52,68400,68640
1,45,68400,68640
1,40,68400,68640
2,33,68400,68640
1,64,68640,68880
1,61,68640,68880
1,57,68640,68880
1,52,68640,68880
1,45,68640,68880
1,40,68640,68880
2,33,68640,68880
3,42,68640,69120
1,64,68880,69120
1,61,68880,69120
1,57,68880,69120
1,52,68880,69120
1,45,68880,69120
1,40,68880,69120
2,33,68880,69120
2,40,69120,69840
3,57,69120,71040
3,35,69120,71040
2,40,69840,69960
2,43,70080,70200
2,40,70440,70560
2,38,70800,71040
2,36,71040,72000
2,35,72000,72960
2,40,72960,73680
2,40,73680,73800
2,43,73920,74040
2,40,74280,74400
2,38,74640,74880
2,36,74880,75840
2,35,75840,76800
2,40,76800,77520
3,44,76800,77280
3,41,76800,77280
3,35,76800,77280
3,44,77280,77760
3,41,77280,77760
3,35,77280,77760
2,40,77520,77640
2,43,77760,77880
3,44,77760,78240
3,41,77760,78240
3,35,77760,78240
2,40,78120,78240
3,44,78240,78720
3,41,78240,78720
3,35,78240,78720
2,38,78480,78720
2,36,78720,79680
3,44,78720,79200
3,41,78720,79200
3,35,78720,79200
3,44,79200,79680
3,41,79200,79680
3,35,79200,79680
2,35,79680,80640
3,44,79680,80160
3,41,79680,80160
